X,Y,speed,dir,AM_dir,QGIS_dir
726574.894853401,5188315.48735339,12.4,3,93,183
726975.954853401,5188315.48735339,12.6,5,95,185
727377.014853401,5188315.48735339,12.6,5,95,185
727778.074853401,5188315.48735339,12.5,3,93,183
728179.134853401,5188315.48735339,12.7,0,90,180
728580.194853401,5188315.48735339,12.7,358,88,178
728981.254853401,5188315.48735339,12.0,356,86,176
729382.314853401,5188315.48735339,11.3,358,88,178
729783.374853401,5188315.48735339,12.3,3,93,183
730184.434853401,5188315.48735339,14.5,8,98,188
730585.494853401,5188315.48735339,14.9,8,98,188
730986.554853401,5188315.48735339,13.5,4,94,184
731387.614853401,5188315.48735339,12.3,2,92,182
731788.674853401,5188315.48735339,11.3,1,91,181
732189.734853401,5188315.48735339,11.1,0,90,180
732590.794853401,5188315.48735339,11.8,359,89,179
732991.854853401,5188315.48735339,12.9,358,88,178
733392.914853401,5188315.48735339,13.5,358,88,178
733793.974853401,5188315.48735339,13.7,354,84,174
734195.034853401,5188315.48735339,14.3,349,79,169
734596.094853401,5188315.48735339,12.7,356,86,176
734997.154853401,5188315.48735339,12.7,356,86,176
735398.214853401,5188315.48735339,11.0,8,98,188
735799.274853401,5188315.48735339,11.0,5,95,185
736200.334853401,5188315.48735339,11.1,355,85,175
736601.394853401,5188315.48735339,11.1,343,73,163
714944.154853401,5188716.54735339,12.5,14,104,194
715345.214853401,5188716.54735339,12.2,8,98,188
715746.274853401,5188716.54735339,11.5,2,92,182
716147.334853401,5188716.54735339,10.7,360,90,180
716548.394853401,5188716.54735339,10.5,357,87,177
716949.454853401,5188716.54735339,10.8,356,86,176
717350.514853401,5188716.54735339,11.2,354,84,174
717751.574853401,5188716.54735339,10.8,352,82,172
718152.634853401,5188716.54735339,10.2,352,82,172
718553.694853401,5188716.54735339,10.2,355,85,175
718954.754853401,5188716.54735339,11.0,360,90,180
719355.814853401,5188716.54735339,11.2,2,92,182
719756.874853401,5188716.54735339,10.6,1,91,181
720157.934853401,5188716.54735339,10.4,359,89,179
720558.994853401,5188716.54735339,11.2,359,89,179
720960.054853401,5188716.54735339,12.2,358,88,178
721361.114853401,5188716.54735339,12.4,358,88,178
721762.174853401,5188716.54735339,12.4,358,88,178
722163.234853401,5188716.54735339,12.0,2,92,182
722564.294853401,5188716.54735339,11.7,4,94,184
722965.354853401,5188716.54735339,11.6,3,93,183
723366.414853401,5188716.54735339,11.6,2,92,182
723767.474853401,5188716.54735339,11.5,1,91,181
724168.534853401,5188716.54735339,11.7,0,90,180
724569.594853401,5188716.54735339,12.0,0,90,180
724970.654853401,5188716.54735339,12.2,1,91,181
725371.714853401,5188716.54735339,12.2,360,90,180
725772.774853401,5188716.54735339,12.2,0,90,180
726173.834853401,5188716.54735339,12.4,2,92,182
726574.894853401,5188716.54735339,12.8,4,94,184
726975.954853401,5188716.54735339,12.7,4,94,184
727377.014853401,5188716.54735339,12.2,4,94,184
727778.074853401,5188716.54735339,11.9,3,93,183
728179.134853401,5188716.54735339,12.3,3,93,183
728580.194853401,5188716.54735339,13.4,0,90,180
728981.254853401,5188716.54735339,14.6,360,90,180
729382.314853401,5188716.54735339,15.3,2,92,182
729783.374853401,5188716.54735339,15.5,6,96,186
730184.434853401,5188716.54735339,14.8,8,98,188
730585.494853401,5188716.54735339,13.0,4,94,184
730986.554853401,5188716.54735339,11.9,360,90,180
731387.614853401,5188716.54735339,11.2,357,87,177
731788.674853401,5188716.54735339,10.6,357,87,177
732189.734853401,5188716.54735339,9.9,360,90,180
732590.794853401,5188716.54735339,9.3,1,91,181
732991.854853401,5188716.54735339,9.1,359,89,179
733392.914853401,5188716.54735339,9.3,357,87,177
733793.974853401,5188716.54735339,9.9,354,84,174
734195.034853401,5188716.54735339,11.8,351,81,171
734596.094853401,5188716.54735339,13.6,353,83,173
734997.154853401,5188716.54735339,13.6,353,83,173
735398.214853401,5188716.54735339,12.8,359,89,179
735799.274853401,5188716.54735339,10.7,3,93,183
736200.334853401,5188716.54735339,10.1,354,84,174
736601.394853401,5188716.54735339,11.1,345,75,165
